strategy,step,price,action,reward,cumulative_reward,regime
AlwaysLong,249,168.4698,0,0.1767,52.5349,1
AlwaysLong,250,168.7675,0,-0.6221,51.9128,1
AlwaysLong,251,167.7176,0,0.4446,52.3573,1
AlwaysLong,252,168.4632,0,0.9924,53.3497,1
AlwaysLong,253,170.1349,0,0.4211,53.7707,1
AlwaysLong,254,170.8513,0,-0.7965,52.9742,1
AlwaysLong,255,169.4904,0,-0.2742,52.7000,1
AlwaysLong,256,169.0257,0,0.5676,53.2676,1
AlwaysLong,257,169.9851,0,-0.3931,52.8745,1
AlwaysLong,258,169.3169,0,0.1691,53.0437,1
AlwaysLong,259,169.6033,0,0.3165,53.3601,1
AlwaysLong,260,170.1400,0,-0.5004,52.8598,1
AlwaysLong,261,169.2887,0,-0.0679,52.7919,1
AlwaysLong,262,169.1738,0,-1.5691,51.2228,1
AlwaysLong,263,166.5193,0,-0.4494,50.7734,1
AlwaysLong,264,165.7710,0,-0.0564,50.7171,1
AlwaysLong,265,165.6776,0,-0.5341,50.1829,1
AlwaysLong,266,164.7926,0,0.8881,51.0710,1
AlwaysLong,267,166.2561,0,-0.6374,50.4336,1
AlwaysLong,268,165.1964,0,-0.1300,50.3036,1
AlwaysLong,269,164.9817,0,0.1532,50.4568,1
AlwaysLong,270,165.2344,0,0.7798,51.2366,1
AlwaysLong,271,166.5229,0,-0.6471,50.5894,1
AlwaysLong,272,165.4452,0,0.6379,51.2274,1
AlwaysLong,273,166.5007,0,0.0482,51.2756,1
AlwaysLong,274,166.5810,0,-0.4305,50.8452,1
AlwaysLong,275,165.8639,0,0.2856,51.1307,1
AlwaysLong,276,166.3376,0,0.1440,51.2748,1
AlwaysLong,277,166.5771,0,-0.2472,51.0275,1
AlwaysLong,278,166.1653,0,0.0871,51.1146,1
AlwaysLong,279,166.3100,0,-0.1362,50.9784,1
AlwaysLong,280,166.0835,0,0.1107,51.0891,1
AlwaysLong,281,166.2673,0,0.3690,51.4581,1
AlwaysLong,282,166.8808,0,0.7922,52.2502,1
AlwaysLong,283,168.2028,0,-0.5964,51.6538,1
AlwaysLong,284,167.1996,0,1.0428,52.6966,1
AlwaysLong,285,168.9432,0,-0.9540,51.7427,1
AlwaysLong,286,167.3315,0,-0.0543,51.6884,1
AlwaysLong,287,167.2407,0,0.3024,51.9908,1
AlwaysLong,288,167.7465,0,0.1399,52.1307,1
AlwaysLong,289,167.9812,0,-0.2977,51.8331,1
AlwaysLong,290,167.4811,0,-0.0856,51.7474,1
AlwaysLong,291,167.3377,0,-0.2176,51.5299,1
AlwaysLong,292,166.9736,0,-0.2533,51.2765,1
AlwaysLong,293,166.5506,0,0.4499,51.7264,1
AlwaysLong,294,167.3000,0,0.1900,51.9164,1
AlwaysLong,295,167.6178,0,-0.3210,51.5954,1
AlwaysLong,296,167.0797,0,0.4566,52.0520,1
AlwaysLong,297,167.8426,0,0.1495,52.2015,1
AlwaysLong,298,168.0935,0,0.3824,52.5839,1
AlwaysLong,299,168.7363,0,0.2750,52.8589,1
AlwaysLong,300,169.2004,0,-0.4291,52.4298,1
AlwaysLong,301,168.4743,0,-0.2818,52.1481,1
AlwaysLong,302,167.9996,0,0.3542,52.5022,1
AlwaysLong,303,168.5947,0,0.2703,52.7726,1
AlwaysLong,304,169.0504,0,-0.0426,52.7299,1
AlwaysLong,305,168.9784,0,0.0249,52.7549,1
AlwaysLong,306,169.0205,0,0.5729,53.3277,1
AlwaysLong,307,169.9888,0,-0.3386,52.9892,1
AlwaysLong,308,169.4133,0,0.2150,53.2042,1
AlwaysLong,309,169.7775,0,-0.1493,53.0549,1
AlwaysLong,310,169.5240,0,-0.1493,52.9055,1
AlwaysLong,311,169.2708,0,0.4801,53.3856,1
AlwaysLong,312,170.0835,0,0.3253,53.7110,1
AlwaysLong,313,170.6368,0,0.3025,54.0134,1
AlwaysLong,314,171.1530,0,0.5164,54.5299,1
AlwaysLong,315,172.0369,0,-0.1092,54.4207,1
AlwaysLong,316,171.8490,0,0.2038,54.6245,1
AlwaysLong,317,172.1993,0,-0.2677,54.3568,1
AlwaysLong,318,171.7383,0,0.0405,54.3973,1
AlwaysLong,319,171.8079,0,-0.1731,54.2243,1
AlwaysLong,320,171.5106,0,-0.0587,54.1655,1
AlwaysLong,321,171.4098,0,0.1767,54.3422,1
AlwaysLong,322,171.7127,0,-0.4910,53.8512,1
AlwaysLong,323,170.8696,0,0.8940,54.7453,1
AlwaysLong,324,172.3972,0,-0.5960,54.1493,1
AlwaysLong,325,171.3697,0,-0.6668,53.4825,1
AlwaysLong,326,170.2271,0,0.4772,53.9597,1
AlwaysLong,327,171.0394,0,0.2798,54.2395,1
AlwaysLong,328,171.5179,0,0.1869,54.4264,1
AlwaysLong,329,171.8385,0,0.1792,54.6056,1
AlwaysLong,330,172.1465,0,-0.1278,54.4778,1
AlwaysLong,331,171.9265,0,-0.5333,53.9445,1
AlwaysLong,332,171.0096,0,-0.0542,53.8903,1
AlwaysLong,333,170.9169,0,-0.4039,53.4864,1
AlwaysLong,334,170.2265,0,0.3912,53.8776,1
AlwaysLong,335,170.8925,0,-0.1551,53.7224,1
AlwaysLong,336,170.6274,0,-0.4657,53.2568,1
AlwaysLong,337,169.8328,0,-0.2070,53.0498,1
AlwaysLong,338,169.4812,0,0.1496,53.1993,1
AlwaysLong,339,169.7347,0,-0.3185,52.8808,1
